11.0	55	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	1.581061262582494	0.000000000000000	2.663155789614026	0.000000000000000	2.583461102593160	0.000000000000000	2.556196253583094	0.000000000000000	2.591527231517899	0.000000000000000	2.685387640823945	0.000000000000000	2.643190453969735	0.000000000000000	2.344810345976935	0.000000000000000	2.338610759282715	0.000000000000000	2.896973535097660	0.000000000000000	1.970968602093194	0.000000000000000	1.659389374041730	0.000000000000000	2.597826811545897	0.000000000000000	2.397640157322845	0.000000000000000	3.216618892073862	0.000000000000000	2.844643690420638	0.000000000000000	2.451036597560162	0.000000000000000	2.422505166322245	0.000000000000000	2.640023998400107	0.000000000000000	2.705519632024532	0.000000000000000	2.169922005199653	0.000000000000000	2.872041863875741	0.000000000000000	2.925838277448170	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
10.5	54	0.000000000000000	0.000000000000000	0.000000000000000	2.112859142723818	0.000000000000000	2.359009399373375	0.000000000000000	2.783114459036064	0.000000000000000	2.269715352309846	0.000000000000000	1.959769348710086	0.000000000000000	2.404239717352176	0.000000000000000	2.566495566962203	0.000000000000000	3.491967202186521	0.000000000000000	2.675654956336244	0.000000000000000	2.176754883007800	0.000000000000000	3.586927538164122	0.000000000000000	2.202053196453570	0.000000000000000	3.117892140523965	0.000000000000000	1.585394307046197	0.000000000000000	2.839777348176788	0.000000000000000	3.174688354109726	0.000000000000000	2.603593093793747	0.000000000000000	2.700219985334311	0.000000000000000	1.877608159456036	0.000000000000000	2.145323645090327	0.000000000000000	1.738217452169855	0.000000000000000	2.515065662289181	0.000000000000000	2.256049596693554	0.000000000000000	2.471201919872009	0.000000000000000	0.000000000000000	0.000000000000000
10.0	53	0.000000000000000	0.000000000000000	1.752116525564962	0.000000000000000	3.411339244050397	0.000000000000000	2.711885874275048	0.000000000000000	2.181621225251650	0.000000000000000	2.601293247116859	0.000000000000000	3.286180921271915	0.000000000000000	2.423338444103726	0.000000000000000	2.984467702153190	0.000000000000000	2.639157389507366	0.000000000000000	2.222485167655490	0.000000000000000	3.687887474168389	0.000000000000000	2.855009666022265	0.000000000000000	2.737684154389707	0.000000000000000	2.672555162989134	0.000000000000000	3.465002333177788	0.000000000000000	2.359809346043597	0.000000000000000	2.384541030597960	0.000000000000000	2.624525031664556	0.000000000000000	2.557396173588427	0.000000000000000	2.291180587960802	0.000000000000000	2.446570228651423	0.000000000000000	3.069495366975535	0.000000000000000	2.053496433571095	0.000000000000000	2.487367508832744	0.000000000000000	2.143590427304846	0.000000000000000	0.000000000000000
9.5	52	0.000000000000000	2.352143190453970	0.000000000000000	2.310812612492501	0.000000000000000	2.718685420971935	0.000000000000000	2.751549896673555	0.000000000000000	2.210385974268382	0.000000000000000	3.043130457969469	0.000000000000000	3.532064529031398	0.000000000000000	2.800713285780948	0.000000000000000	2.735850943270449	0.000000000000000	2.499433371108593	0.000000000000000	2.930271315245650	0.000000000000000	2.651623225118326	0.000000000000000	3.109692687154190	0.000000000000000	3.065095660289314	0.000000000000000	1.878241450569962	0.000000000000000	2.311945870275315	0.000000000000000	2.361442570495300	0.000000000000000	2.197320178654756	0.000000000000000	2.522698486767549	0.000000000000000	1.995333644423705	0.000000000000000	1.618892073861742	0.000000000000000	2.500099993333778	0.000000000000000	1.997933471101927	0.000000000000000	1.671288580761283	0.000000000000000	2.528098126791547	0.000000000000000	2.295546963535764	0.000000000000000
9.0	51	2.783081127924805	0.000000000000000	2.718985400973268	0.000000000000000	2.257682821145257	0.000000000000000	2.664422371841877	0.000000000000000	2.787080861275915	0.000000000000000	1.697253516432238	0.000000000000000	2.036197586827545	0.000000000000000	2.706552896473569	0.000000000000000	2.302646490233984	0.000000000000000	2.703153123125125	0.000000000000000	3.457569495366975	0.000000000000000	3.142423838410773	0.000000000000000	2.558562762482501	0.000000000000000	2.356176254916339	0.000000000000000	2.655089660689288	0.000000000000000	2.183854409706020	0.000000000000000	1.564795680287981	0.000000000000000	2.267982134524365	0.000000000000000	2.202219852009866	0.000000000000000	1.722818478768082	0.000000000000000	1.658422771815212	0.000000000000000	2.997533497766816	0.000000000000000	2.260782614492367	0.000000000000000	1.806546230251317	0.000000000000000	2.694320378641424	0.000000000000000	2.049563362442504	0.000000000000000	2.247983467768815
8.5	50	0.000000000000000	2.226018265448970	0.000000000000000	2.329911339244050	0.000000000000000	2.764015732284514	0.000000000000000	3.049763349110060	0.000000000000000	2.785447636824212	0.000000000000000	3.189620691953870	0.000000000000000	2.224885007666156	0.000000000000000	2.107492833811079	0.000000000000000	2.963469102059863	0.000000000000000	2.292013865742284	0.000000000000000	2.699120058662756	0.000000000000000	2.030097993467102	0.000000000000000	3.405639624025065	0.000000000000000	2.548663422438504	0.000000000000000	3.884541030597960	0.000000000000000	2.341543897073529	0.000000000000000	2.812612492500500	0.000000000000000	3.423071795213652	0.000000000000000	2.656989534031065	0.000000000000000	2.217685487634158	0.000000000000000	1.937670821945204	0.000000000000000	2.612059196053596	0.000000000000000	1.981134591027265	0.000000000000000	2.229651356576228	0.000000000000000	2.350809946003600	0.000000000000000	2.733151123258450	0.000000000000000
8.0	49	2.572395173655090	0.000000000000000	2.282147856809546	0.000000000000000	2.488600759949337	0.000000000000000	1.887140857276182	0.000000000000000	2.251249916672222	0.000000000000000	2.236717552163189	0.000000000000000	3.208086127591494	0.000000000000000	3.550663289114059	0.000000000000000	1.721285247650157	0.000000000000000	2.140723951736551	0.000000000000000	3.288514099060063	0.000000000000000	2.663722418505433	0.000000000000000	2.821378574761682	0.000000000000000	3.989000733284448	0.000000000000000	2.384407706152923	0.000000000000000	2.831311245916939	0.000000000000000	1.896640223985068	0.000000000000000	2.261849210052663	0.000000000000000	2.260749283381108	0.000000000000000	2.442003866408906	0.000000000000000	2.613192453836411	0.000000000000000	3.252683154456370	0.000000000000000	2.562795813612426	0.000000000000000	2.925204986334244	0.000000000000000	2.900273315112326	0.000000000000000	2.634591027264849	0.000000000000000	2.726884874341711
7.5	48	0.000000000000000	2.485234317712152	0.000000000000000	1.959969335377642	0.000000000000000	2.518698753416439	0.000000000000000	2.697586827544830	0.000000000000000	2.055962935804280	0.000000000000000	2.994867008866076	0.000000000000000	2.051396573561763	0.000000000000000	2.378408106126258	0.000000000000000	3.854143057129525	0.000000000000000	2.538830744617026	0.000000000000000	2.322245183654423	0.000000000000000	2.816912205852943	0.000000000000000	2.860975934937671	0.000000000000000	2.244817012199187	0.000000000000000	2.862109192720485	0.000000000000000	2.706186254249717	0.000000000000000	2.848243450436637	0.000000000000000	2.874341710552630	0.000000000000000	2.358109459369375	0.000000000000000	2.948103459769349	0.000000000000000	2.134591027264849	0.000000000000000	1.435537630824612	0.000000000000000	2.431171255249650	0.000000000000000	2.467068862075862	0.000000000000000	2.505432971135258	0.000000000000000	2.199553363109126	0.000000000000000
7.0	47	2.377741483901073	0.000000000000000	3.333577761482568	0.000000000000000	1.673655089660689	0.000000000000000	2.711552563162456	0.000000000000000	2.106492900473302	0.000000000000000	2.238250783281114	0.000000000000000	1.949703353109793	0.000000000000000	2.245250316645557	0.000000000000000	3.178188120791947	0.000000000000000	2.701053263115792	0.000000000000000	2.465402306512899	0.000000000000000	3.465235650956603	0.000000000000000	2.846110259316045	0.000000000000000	3.557496166922205	0.000000000000000	2.840377308179455	0.000000000000000	1.937704153056463	0.000000000000000	2.879941337244184	0.000000000000000	3.457236184254383	0.000000000000000	3.311512565828945	0.000000000000000	2.782547830144657	0.000000000000000	3.193020465302313	0.000000000000000	2.268182121191920	0.000000000000000	2.846643557096193	0.000000000000000	2.440537297513499	0.000000000000000	2.913439104059729	0.000000000000000	2.543930404639691	0.000000000000000	2.282547830144657
6.5	46	0.000000000000000	3.042830477968136	0.000000000000000	3.562362509166056	0.000000000000000	2.202819812012533	0.000000000000000	2.210219318712086	0.000000000000000	2.497066862209186	0.000000000000000	2.849843343777081	0.000000000000000	2.668788747416839	0.000000000000000	1.674521698553430	0.000000000000000	2.602259849343377	0.000000000000000	2.178454769682021	0.000000000000000	2.657356176254916	0.000000000000000	2.544063729084728	0.000000000000000	2.105426304913006	0.000000000000000	2.095893607092861	0.000000000000000	2.874008399440037	0.000000000000000	2.788814079061396	0.000000000000000	2.036897540163989	0.000000000000000	3.013665755616292	0.000000000000000	2.217718818745417	0.000000000000000	1.975001666555563	0.000000000000000	2.817478834744350	0.000000000000000	2.002099860009333	0.000000000000000	2.336110925938271	0.000000000000000	2.846143590427305	0.000000000000000	2.137624158389441	0.000000000000000	2.462202519832011	0.000000000000000
6.0	45	3.729784681021265	0.000000000000000	3.001433237784148	0.000000000000000	2.376808212785814	0.000000000000000	3.308712752483168	0.000000000000000	3.577961469235384	0.000000000000000	2.897906806212919	0.000000000000000	2.500566628891407	0.000000000000000	3.188054129724685	0.000000000000000	2.663422438504100	0.000000000000000	2.931404573028465	0.000000000000000	2.703219785347644	0.000000000000000	2.101526564895674	0.000000000000000	2.762282514499034	0.000000000000000	2.144057062862476	0.000000000000000	2.197786814212386	0.000000000000000	2.808079461369242	0.000000000000000	2.463002466502233	0.000000000000000	2.184887674155056	0.000000000000000	2.061995866942204	0.000000000000000	2.519498700086661	0.000000000000000	2.669155389640691	0.000000000000000	1.583894407039531	0.000000000000000	2.555896273581761	0.000000000000000	2.906139590693954	0.000000000000000	2.367608826078262	0.000000000000000	3.901839877341510	0.000000000000000	2.568095460302647
5.5	44	0.000000000000000	1.805679621358576	0.000000000000000	2.016332244517032	0.000000000000000	2.411239250716619	0.000000000000000	2.596026931537898	0.000000000000000	3.176821545230318	0.000000000000000	2.410805946270249	0.000000000000000	1.671155256316246	0.000000000000000	3.095493633757750	0.000000000000000	3.578894740350643	0.000000000000000	2.459469368708753	0.000000000000000	3.219685354309713	0.000000000000000	3.027431504566362	0.000000000000000	1.865808946070262	0.000000000000000	2.510232651156590	0.000000000000000	1.814045730284648	0.000000000000000	3.510599293380441	0.000000000000000	2.161355909606026	0.000000000000000	2.686287580827945	0.000000000000000	2.465468968735418	0.000000000000000	1.848176788214119	0.000000000000000	2.593427104859676	0.000000000000000	1.983567762149190	0.000000000000000	2.891440570628625	0.000000000000000	3.036630891273915	0.000000000000000	2.238117458836077	0.000000000000000	3.549863342443837	0.000000000000000
5.0	43	3.880741283914406	0.000000000000000	2.661155922938471	0.000000000000000	2.118025464969002	0.000000000000000	2.316845543630424	0.000000000000000	2.320445303646423	0.000000000000000	2.398006799546697	0.000000000000000	2.293413772415172	0.000000000000000	2.180721285247650	0.000000000000000	2.165788947403506	0.000000000000000	2.924038397440170	0.000000000000000	2.020931937870809	0.000000000000000	3.716818878741417	0.000000000000000	2.640857276181588	0.000000000000000	2.730484634357710	0.000000000000000	2.080027998133458	0.000000000000000	3.733251116592227	0.000000000000000	2.353643090460636	0.000000000000000	2.572895140323979	0.000000000000000	2.366108926071595	0.000000000000000	2.332311179254716	0.000000000000000	2.053296446903540	0.000000000000000	2.223885074328378	0.000000000000000	1.670055329644690	0.000000000000000	2.380941270581961	0.000000000000000	2.494300379974668	0.000000000000000	3.397673488434104	0.000000000000000	2.897473501766549
4.5	42	0.000000000000000	2.487434171055263	0.000000000000000	3.382741150589961	0.000000000000000	3.287814145723619	0.000000000000000	2.165255649623358	0.000000000000000	2.452303179788014	0.000000000000000	2.784414372375175	0.000000000000000	2.415572295180321	0.000000000000000	2.433571095260316	0.000000000000000	2.663855742950470	0.000000000000000	1.823345110325978	0.000000000000000	2.531664555696287	0.000000000000000	2.990167322178521	0.000000000000000	2.547096860209320	0.000000000000000	2.472801813212453	0.000000000000000	2.110559296046930	0.000000000000000	2.023198453436438	0.000000000000000	3.736350909939337	0.000000000000000	3.477768148790080	0.000000000000000	3.002399840010666	0.000000000000000	2.935670955269649	0.000000000000000	2.171855209652690	0.000000000000000	2.498233451103260	0.000000000000000	3.045063662422505	0.000000000000000	2.667288847410173	0.000000000000000	2.649156722885141	0.000000000000000	3.058996066928871	0.000000000000000
4.0	41	2.503133124458369	0.000000000000000	1.951269915338977	0.000000000000000	2.493000466635558	0.000000000000000	2.577028198120126	0.000000000000000	2.506432904473035	0.000000000000000	3.075961602559830	0.000000000000000	2.671421905206320	0.000000000000000	2.938304113059129	0.000000000000000	2.018498766748884	0.000000000000000	3.289647356842877	0.000000000000000	2.927271515232318	0.000000000000000	2.719818678754750	0.000000000000000	2.686120925271648	0.000000000000000	3.348410105992934	0.000000000000000	2.604226384907673	0.000000000000000	2.312845810279315	0.000000000000000	2.458569428704753	0.000000000000000	2.960935937604160	0.000000000000000	2.553329778014799	0.000000000000000	2.871341910539297	0.000000000000000	2.087327511499233	0.000000000000000	2.509099393373775	0.000000000000000	2.959769348710086	0.000000000000000	2.587627491500567	0.000000000000000	2.208452769815346	0.000000000000000	3.044430371308580	0.000000000000000	1.846910205986268
3.5	40	0.000000000000000	1.889974001733218	0.000000000000000	3.035130991267249	0.000000000000000	2.988267448836744	0.000000000000000	2.556662889140724	0.000000000000000	3.242983801079928	0.000000000000000	2.712219185387641	0.000000000000000	2.518198786747550	0.000000000000000	3.095926938204120	0.000000000000000	2.616258916072262	0.000000000000000	2.187220851943204	0.000000000000000	1.835444303713086	0.000000000000000	4.522665155656290	0.000000000000000	1.984534364375708	0.000000000000000	3.566195586960869	0.000000000000000	2.307646156922872	0.000000000000000	2.688254116392240	0.000000000000000	2.650689954003067	0.000000000000000	2.406906206252916	0.000000000000000	2.326011599226718	0.000000000000000	2.058529431371242	0.000000000000000	1.781781214585694	0.000000000000000	2.209519365375642	0.000000000000000	2.135290980601293	0.000000000000000	2.663855742950470	0.000000000000000	3.059862675821612	0.000000000000000	1.891640557296180	0.000000000000000
3.0	39	3.926871541897207	0.000000000000000	2.593360442637158	0.000000000000000	2.584494367042197	0.000000000000000	2.784814345710286	0.000000000000000	2.521298580094661	0.000000000000000	2.241217252183188	0.000000000000000	3.341943870408639	0.000000000000000	2.457936137590827	0.000000000000000	2.799113392440504	0.000000000000000	2.092060529298047	0.000000000000000	2.752149856676222	0.000000000000000	2.057862809146057	0.000000000000000	2.577528164789014	0.000000000000000	2.182187854143057	0.000000000000000	2.521298580094661	0.000000000000000	2.085494300379975	0.000000000000000	2.790847276848210	0.000000000000000	2.155889607359510	0.000000000000000	2.825978268115459	0.000000000000000	3.161722551829878	0.000000000000000	2.332611159256050	0.000000000000000	2.657256182921139	0.000000000000000	2.039397373508433	0.000000000000000	2.159889340710619	0.000000000000000	2.757882807812813	0.000000000000000	2.466368908739417	0.000000000000000	1.975468302113192
2.5	38	0.000000000000000	3.200553296446904	0.000000000000000	2.666955536297580	0.000000000000000	2.413872408506100	0.000000000000000	2.339977334844344	0.000000000000000	3.187720818612092	0.000000000000000	2.546063595760283	0.000000000000000	2.791013932404506	0.000000000000000	2.793647090193987	0.000000000000000	2.461135924271715	0.000000000000000	2.191287247516832	0.000000000000000	2.191287247516832	0.000000000000000	2.861309246050263	0.000000000000000	2.017065528964736	0.000000000000000	2.806512899140057	0.000000000000000	2.525931604559696	0.000000000000000	2.331777881474568	0.000000000000000	3.004899673355110	0.000000000000000	2.376408239450703	0.000000000000000	3.119558696086928	0.000000000000000	2.416172255182988	0.000000000000000	1.891173921738551	0.000000000000000	1.834811012599160	0.000000000000000	2.990433971068595	0.000000000000000	2.944203719752017	0.000000000000000	2.522298513432438	0.000000000000000	2.855442970468635	0.000000000000000
2.0	37	2.302013199120059	0.000000000000000	3.438304113059129	0.000000000000000	2.940637290847277	0.000000000000000	2.933471101926538	0.000000000000000	2.232284514365709	0.000000000000000	2.573661755882941	0.000000000000000	3.006799546696887	0.000000000000000	2.620458636090927	0.000000000000000	2.788747416838878	0.000000000000000	2.551796546896874	0.000000000000000	2.143990400639957	0.000000000000000	2.824711685887607	0.000000000000000	2.941037264182388	0.000000000000000	2.764082394507033	0.000000000000000	2.684454369708686	0.000000000000000	2.849343377108193	0.000000000000000	3.102326511565896	0.000000000000000	2.018165455636291	0.000000000000000	3.006732884474368	0.000000000000000	2.613025798280115	0.000000000000000	2.577294847010200	0.000000000000000	2.704119725351643	0.000000000000000	3.601226584894341	0.000000000000000	2.349810012665822	0.000000000000000	2.836244250383308	0.000000000000000	2.690087327511499	0.000000000000000	2.647923471768549
1.5	36	0.000000000000000	2.520531964535698	0.000000000000000	2.240350643290447	0.000000000000000	2.965735617625492	0.000000000000000	2.505432971135258	0.000000000000000	2.165755616292247	0.000000000000000	2.026631557896140	0.000000000000000	2.495066995533631	0.000000000000000	2.565328978068129	0.000000000000000	2.224418372108526	0.000000000000000	2.540797280181321	0.000000000000000	2.352709819345377	0.000000000000000	3.010399306712886	0.000000000000000	2.821845210319312	0.000000000000000	2.234351043263783	0.000000000000000	2.024831677888141	0.000000000000000	2.680587960802613	0.000000000000000	2.503899740017332	0.000000000000000	2.143357109526032	0.000000000000000	2.216218918738751	0.000000000000000	1.646490233984401	0.000000000000000	2.460202653156456	0.000000000000000	2.999666688887408	0.000000000000000	2.526198253449770	0.000000000000000	2.714319045396973	0.000000000000000	2.214119058729418	0.000000000000000	2.291780547963469	0.000000000000000
1.0	35	2.112059196053596	0.000000000000000	3.609359376041597	0.000000000000000	2.725084994333711	0.000000000000000	2.726851543230451	0.000000000000000	2.702886474235051	0.000000000000000	2.701786547563496	0.000000000000000	2.481701219918672	0.000000000000000	2.230551296580228	0.000000000000000	2.611259249383374	0.000000000000000	2.558396106926205	0.000000000000000	2.312179188054130	0.000000000000000	2.741017265515632	0.000000000000000	2.688654089727351	0.000000000000000	2.618058796080261	0.000000000000000	2.357909472701820	0.000000000000000	3.286447570161989	0.000000000000000	2.374908339444037	0.000000000000000	2.824445036997533	0.000000000000000	2.873341777214852	0.000000000000000	2.484501033264449	0.000000000000000	3.477134857676155	0.000000000000000	3.381307912805813	0.000000000000000	2.793213785747617	0.000000000000000	2.562362509166056	0.000000000000000	2.923405106326245	0.000000000000000	2.537964135724285	0.000000000000000	3.209619358709420
